id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
10618,97,Product Management ,1,Certifications ,SAFe Product Manager/Product Owner certification,3,6,2,0 - Avoid,2
10619,97,Product Management ,1,Certifications ,SAFe Agilest,3,6,2,0 - Avoid,2
10620,97,Product Management ,1,Certifications ,PMI - ACP,3,6,2,0 - Avoid,2
10621,97,Product Management ,1,Certifications ,Certified Scrum Master/Product Owner,3,6,2,0 - Avoid,2
10622,97,Product Management ,1,Certifications ,Certified Scrum Professional,3,6,2,0 - Avoid,2
10623,97,Product Management ,1,Certifications ,Professional Scrum Master/Product Owner,3,6,2,0 - Avoid,2
10624,97,Product Management ,1,Certifications ,<OTHER HERE>,,,2,,2
10625,97,Product Management ,1,Certifications ,<OTHER HERE>,,,2,,2
10626,97,Product Management ,3,General / UX Design,General,1,7,2,1 - Develop,2
10627,97,Product Management ,3,General / UX Design,General,3,6,2,1 - Develop,2
10628,97,Product Management ,3,General / UX Design,General,1,7,2,2 - Engage,2
10629,97,Product Management ,3,General / UX Design,General,1,7,2,2 - Engage,2
10630,97,Product Management ,3,General / UX Design,General,1,7,2,2 - Engage,2
10631,97,Product Management ,3,General / UX Design,UX Design,3,6,2,1 - Develop,2
10632,97,Product Management ,3,General / UX Design,UX Design,3,6,2,1 - Develop,2
10633,97,Product Management ,3,General / UX Design,UX Design,3,6,2,1 - Develop,2
10634,97,Product Management ,3,General / UX Design,UX Design,2,6,2,1 - Develop,2
10635,97,Product Management ,3,Strategy & Execution,Product strategy,1,7,2,2 - Engage,2
10636,97,Product Management ,3,Strategy & Execution,KPI definition,1,7,2,2 - Engage,2
10637,97,Product Management ,3,Strategy & Execution,Requirements definition,1,7,2,2 - Engage,2
10638,97,Product Management ,3,Strategy & Execution,Requirements prioritization,1,7,2,2 - Engage,2
10639,97,Product Management ,3,Strategy & Execution,Road-mapping,1,7,2,2 - Engage,2
10640,97,Product Management ,3,Strategy & Execution,Backlog refinement,1,7,2,2 - Engage,2
10641,97,Product Management ,3,Strategy & Execution,Business Case Creation and Budget Management,1,7,2,2 - Engage,2
10642,97,DIGITAL ENABLEMENT,4,MarTech,Analytics,2,7,2,1 - Develop,2
10643,97,DIGITAL ENABLEMENT,4,MarTech,Content Management Systems,2,6,2,1 - Develop,2
10644,97,DIGITAL ENABLEMENT,4,MarTech,A/B & Multi-Variate Testing,3,6,2,0 - Avoid,2
10645,97,DIGITAL ENABLEMENT,4,MarTech,Personalization & Targeting Engines,3,6,2,0 - Avoid,2
10646,97,DIGITAL ENABLEMENT,4,MarTech,Digital Asset Management,3,6,2,0 - Avoid,2
10647,97,DIGITAL ENABLEMENT,4,MarTech,E-Mail / Marketing Automation Platforms,3,6,2,0 - Avoid,2
10648,97,DIGITAL ENABLEMENT,4,MarTech,Data Management Platforms (DMP),3,6,2,0 - Avoid,2
10649,97,DIGITAL ENABLEMENT,4,MarTech,Social Marketing Platforms,2,6,2,0 - Avoid,2
10650,97,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,,,2,,2
10651,97,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,,,2,,2
10652,97,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,,,2,,2
10653,97,DIGITAL ENABLEMENT,4,e-Commerce,Core E-Commerce Platforms,3,6,2,0 - Avoid,2
10654,97,DIGITAL ENABLEMENT,4,e-Commerce,Subscription Engines,3,6,2,0 - Avoid,2
10655,97,DIGITAL ENABLEMENT,4,e-Commerce,Product Information Management (PIM),3,6,2,0 - Avoid,2
10656,97,DIGITAL ENABLEMENT,4,e-Commerce,Search Engine,3,6,2,0 - Avoid,2
10657,97,DIGITAL ENABLEMENT,4,e-Commerce,<OTHER HERE>,,,2,,2
10658,97,DIGITAL ENABLEMENT,4,e-Commerce,<OTHER HERE>,,,2,,2
10659,97,DIGITAL ENABLEMENT,4,e-Commerce,<OTHER HERE>,,,2,,2
10660,97,DIGITAL ENABLEMENT,4,CRM,CRM,3,6,2,0 - Avoid,2
10661,97,DIGITAL ENABLEMENT,4,ERP,ERP,3,6,2,0 - Avoid,2
10662,97,DIGITAL ENABLEMENT,4,Cloud,Cloud,3,6,2,0 - Avoid,2
10663,97,DIGITAL ENABLEMENT,4,Mobile,Native,3,6,2,0 - Avoid,2
10664,97,DIGITAL ENABLEMENT,4,Mobile,Hybrid,3,6,2,0 - Avoid,2
10665,97,DIGITAL ENABLEMENT,2,General,Platform Architecture Design & Definition,3,6,2,0 - Avoid,2
10666,97,DIGITAL ENABLEMENT,2,General,Platform Evaluation & Selection,3,6,2,0 - Avoid,2
10667,97,DIGITAL ENABLEMENT,2,General,Enterprise Architecture Design & Definition,3,6,2,0 - Avoid,2
10668,97,DIGITAL ENABLEMENT,2,General,Buy vs. Build Assessments,1,7,2,2 - Engage,2
10669,97,DIGITAL ENABLEMENT,2,General,Functional Architecture Design & Definition,1,7,2,1 - Develop,2
10670,97,DIGITAL ENABLEMENT,2,General,Technical Integration Design & Implementation,2,6,2,0 - Avoid,2
10671,97,DIGITAL ENABLEMENT,2,General,Technical Specification Documentation,2,6,2,0 - Avoid,2
10672,97,DIGITAL ENABLEMENT,2,General,Java / J2EE Development,3,6,2,0 - Avoid,2
10673,97,DIGITAL ENABLEMENT,2,General,C# / .Net Development,3,6,2,0 - Avoid,2
10674,97,DIGITAL ENABLEMENT,2,General,Scripting Technologies (Specify),3,6,2,0 - Avoid,2
10675,97,DIGITAL ENABLEMENT,2,General,"Mobile App Development (Hybrid/Native, Specify)",3,6,2,0 - Avoid,2
10676,97,DIGITAL ENABLEMENT,2,General,E-Commerce Catalog Design & Definition,3,6,2,0 - Avoid,2
10677,97,DIGITAL ENABLEMENT,2,General,End-to-End Testing,3,6,2,0 - Avoid,2
10678,97,DIGITAL ENABLEMENT,2,General,Performance Testing,3,6,2,0 - Avoid,2
